교과목,학점,년도,교과목명
GS2629,3,2018,손자병법과 인생경영
GS2630,3,2018,한비자와 법가의 정치철학
GS2814,3,2018,유토피아 픽션과 테크놀로지
GS3501,3,2018,이상(李箱)문학과 과학
GS3502,3,2018,시창작 특강
GS3504,3,2018,한국근현대작가론
GS3601,3,2018,강대국의 흥망(심화)
GS3602,3,2018,역사학특강
GS3603,3,2018,서양사 자료의 비판과 해석
GS3604,3,2018,서양사 특강
GS3621,3,2018,20세기 철학의 주제들  1
GS3621,3,2018,20세기 철학의 주제들  1(심화)
GS3621,3,2018,20세기 철학의 주제들 Ⅰ
GS3622,3,2018,20세기 철학의 주제들 2
GS3622,3,2018,20세기 철학의 주제들 2(세미나)
GS3623,3,2018,동양철학고전강독
GS3624,3,2018,주역 입문
GS3625,3,2018,<노자> 사상의 이해
GS3801,3,2018,과학기술과 젠더
GS3801,3,2018,과학기술과 젠더(심화)
GS3802,3,2018,과학자 문학
GS3901,2,2018,일본문화론
GS2501,3,2019,이야기 문학과 삶
GS2501,3,2019,이야기문학과 삶
GS2501,3,2019,이야기문학의 이해
GS2503,3,2019,한국현대문학의 이해
GS2503,3,2019,한국현대소설의 이해
GS2505,3,2019,고전시가의 이해
GS2506,3,2019,한국현대시인론
GS2507,3,2019,시의 이해
GS2507,3,2019,한국현대시의 이해
GS2509,3,2019,한국현대소설의 사회적 성찰
GS2510,3,2019,한국고전문학과 사상
GS2511,3,2019,현대시 읽기
GS2512,3,2019,한국소설 속의 여성들
GS2521,3,2019,영웅과 반영웅 : 서구근대문학의 이해
GS2522,3,2019,개성과 정체성: 영미 성장기 문학
GS2523,3,2019,영미단편소설읽기
GS2524,3,2019,희극의 발견
GS2525,3,2019,근대의 모험: 서구근대문학의 이해 Ⅱ
GS2526,3,2019,문학과 연인들
GS2544,3,2019,문화콘텐츠의 이해
GS2601,3,2019,동아시아의 전통과 현대
GS2602,3,2019,한국사의 이해
GS2603,3,2019,동아시아의 근대화
GS2612,3,2019,서양 고대와 중세 문명
GS2612,3,2019,서양역사 입문
GS2613,3,2019,현대서양의 형성과 전개
GS2614,3,2019,서양근대의 대두와 발전
GS2614,3,2019,초기 근대의 서양
GS2615,3,2019,사회주의: 이론과 역사
GS2615,3,2019,자본주의와 사회주의의 역사
GS2616,3,2019,장기 19세기 서양 역사
GS2618,3,2019,러시아사
GS2618,3,2019,중동부 유럽 및 러시아의 역사
GS2621,3,2019,애지와 문도 : 불교와 기독교 (강의)
GS2621,3,2019,"애지와 문도 : 소크라테스, 공자, 붓다, 예수"
GS2625,3,2019,동양적 사유의 전통 1
GS2625,3,2019,동양철학입문
GS2625,3,2019,동양철학입문 1
GS2626,3,2019,한국철학의 이해
GS2626,3,2019,한국철학의 이해 : 성리학과 실학(세미나)
GS2627,3,2019,신화와 상징의 메시지
GS2627,3,2019,신화와 원형상징
GS2814,3,2019,유토피아 픽션과 테크놀로지
GS3501,3,2019,이상(李箱)문학과 과학
GS3502,3,2019,시창작 특강
GS3504,3,2019,한국근현대작가론
GS3601,3,2019,강대국의 흥망(심화)
GS3602,3,2019,역사학특강
GS3603,3,2019,서양사 자료의 비판과 해석
GS3604,3,2019,서양사 특강
GS3621,3,2019,20세기 철학의 주제들  1
GS3621,3,2019,20세기 철학의 주제들  1(심화)
GS3621,3,2019,20세기 철학의 주제들 Ⅰ
GS3622,3,2019,20세기 철학의 주제들 2
GS3622,3,2019,20세기 철학의 주제들 2(세미나)
GS3623,3,2019,동양철학고전강독
GS3624,3,2019,주역 입문
GS3626,3,2019,현대중국과 동아시아 지정학
GS3662,3,2019,동양사의 이해
GS3801,3,2019,과학기술과 젠더
GS3801,3,2019,과학기술과 젠더(심화)
GS3802,3,2019,과학자 문학
GS3803,3,2019,포스트휴먼 셰익스피어
GS3901,2,2019,일본문화론
GS2501,3,2020,이야기 문학과 삶
GS2501,3,2020,이야기문학과 삶
GS2501,3,2020,이야기문학의 이해
GS2503,3,2020,한국현대문학의 이해
GS2503,3,2020,한국현대소설의 이해
GS2505,3,2020,고전시가의 이해
GS2506,3,2020,한국현대시인론
GS2507,3,2020,시의 이해
GS2507,3,2020,한국현대시의 이해
GS2509,3,2020,한국현대소설의 사회적 성찰
GS2510,3,2020,한국고전문학과 사상
GS2511,3,2020,현대시 읽기
GS2512,3,2020,한국소설 속의 여성들
GS2521,3,2020,영웅과 반영웅 : 서구근대문학의 이해
GS2522,3,2020,개성과 정체성: 영미 성장기 문학
GS2523,3,2020,영미단편소설읽기
GS2524,3,2020,희극의 발견
GS2525,3,2020,근대의 모험: 서구근대문학의 이해 Ⅱ
GS2526,3,2020,문학과 연인들
GS2544,3,2020,문화콘텐츠의 이해
GS2601,3,2020,동아시아의 전통과 현대
GS2602,3,2020,한국사의 이해
GS2603,3,2020,동아시아의 근대화
GS2612,3,2020,서양 고대와 중세 문명
GS2612,3,2020,서양역사 입문
GS2613,3,2020,현대서양의 형성과 전개
GS2614,3,2020,서양근대의 대두와 발전
GS2614,3,2020,초기 근대의 서양
GS2615,3,2020,사회주의: 이론과 역사
GS2615,3,2020,자본주의와 사회주의의 역사
GS2616,3,2020,장기 19세기 서양 역사
GS2618,3,2020,러시아사
GS2618,3,2020,중동부 유럽 및 러시아의 역사
GS2621,3,2020,애지와 문도 : 불교와 기독교 (강의)
GS2621,3,2020,"애지와 문도 : 소크라테스, 공자, 붓다, 예수"
GS2625,3,2020,동양적 사유의 전통 1
GS2625,3,2020,동양철학입문
GS2625,3,2020,동양철학입문 1
GS2626,3,2020,한국철학의 이해
GS2626,3,2020,한국철학의 이해 : 성리학과 실학(세미나)
GS2627,3,2020,신화와 상징의 메시지
GS2627,3,2020,신화와 원형상징
GS2814,3,2020,유토피아 픽션과 테크놀로지
GS3501,3,2020,이상(李箱)문학과 과학
GS3502,3,2020,시창작 특강
GS3504,3,2020,한국근현대작가론
GS3601,3,2020,강대국의 흥망(심화)
GS3602,3,2020,역사학특강
GS3603,3,2020,서양사 자료의 비판과 해석
GS3604,3,2020,서양사 특강
GS3621,3,2020,20세기 철학의 주제들  1
GS3621,3,2020,20세기 철학의 주제들  1(심화)
GS3621,3,2020,20세기 철학의 주제들 Ⅰ
GS3622,3,2020,20세기 철학의 주제들 2
GS3622,3,2020,20세기 철학의 주제들 2(세미나)
GS3623,3,2020,동양철학고전강독
GS3624,3,2020,주역 입문
GS3626,3,2020,현대중국과 동아시아 지정학
GS3662,3,2020,동양사의 이해
GS3801,3,2020,과학기술과 젠더
GS3801,3,2020,과학기술과 젠더(심화)
GS3802,3,2020,과학자 문학
GS3803,3,2020,포스트휴먼 셰익스피어
GS3901,2,2020,일본문화론
GS2501,3,2021,이야기 문학과 삶
GS2501,3,2021,이야기문학과 삶
GS2501,3,2021,이야기문학의 이해
GS2503,3,2021,한국현대문학의 이해
GS2503,3,2021,한국현대소설의 이해
GS2505,3,2021,고전시가의 이해
GS2506,3,2021,한국현대시인론
GS2507,3,2021,시의 이해
GS2507,3,2021,한국현대시의 이해
GS2509,3,2021,한국현대소설의 사회적 성찰
GS2510,3,2021,한국고전문학과 사상
GS2511,3,2021,현대시 읽기
GS2512,3,2021,한국소설 속의 여성들
GS2515,3,2021,사회주의: 이론과 역사
GS2515,3,2021,자본주의와 사회주의의 역사
GS2521,3,2021,영웅과 반영웅 : 서구근대문학의 이해
GS2522,3,2021,개성과 정체성: 영미 성장기 문학
GS2523,3,2021,영미단편소설읽기
GS2524,3,2021,희극의 발견
GS2525,3,2021,근대의 모험: 서구근대문학의 이해 Ⅱ
GS2526,3,2021,문학과 연인들
GS2544,3,2021,문화콘텐츠의 이해
GS2581,3,2021,한국 문화의 이해
GS2582,3,2021,한글의 역사
GS2601,3,2021,동아시아의 전통과 현대
GS2602,3,2021,한국사의 이해
GS2603,3,2021,동아시아의 근대화
GS2612,3,2021,서양 고대와 중세 문명
GS2612,3,2021,서양역사 입문
GS2613,3,2021,현대서양의 형성과 전개
GS2614,3,2021,서양근대의 대두와 발전
GS2614,3,2021,초기 근대의 서양
GS2616,3,2021,장기 19세기 서양 역사
GS2617,3,2021,서양 문명의 이해
GS2618,3,2021,러시아사
GS2618,3,2021,중동부 유럽 및 러시아의 역사
GS2621,3,2021,애지와 문도 : 불교와 기독교 (강의)
GS2621,3,2021,"애지와 문도 : 소크라테스, 공자, 붓다, 예수"
GS2621,3,2021,비교종교학입문
GS2625,3,2021,동양적 사유의 전통 1
GS2625,3,2021,동양철학입문
GS2625,3,2021,동양철학입문 1
GS2626,3,2021,한국철학의 이해
GS2626,3,2021,한국철학의 이해 : 성리학과 실학(세미나)
GS2627,3,2021,신화와 상징의 메시지
GS2627,3,2021,신화와 원형상징
GS2656,3,2021,상품의 역사
GS2814,3,2021,유토피아 픽션과 테크놀로지
GS3501,3,2021,이상(李箱)문학과 과학
GS3502,3,2021,시창작 특강
GS3504,3,2021,한국근현대작가론
GS3505,3,2021,20세기 한국여성작가론
GS3601,3,2021,강대국의 흥망(심화)
GS3602,3,2021,역사학특강
GS3603,3,2021,서양사 자료의 비판과 해석
GS3604,3,2021,서양사 특강
GS3621,3,2021,20세기 철학의 주제들  1
GS3621,3,2021,20세기 철학의 주제들  1(심화)
GS3621,3,2021,20세기 철학의 주제들 Ⅰ
GS3621,3,2021,현대철학 세미나
GS3622,3,2021,20세기 철학의 주제들 2
GS3622,3,2021,20세기 철학의 주제들 2(세미나)
GS3623,3,2021,동양철학고전강독
GS3623,3,2021,한문으로 읽는 동양고전
GS3624,3,2021,주역 입문
GS3624,3,2021,동양철학세미나
GS3626,3,2021,현대중국과 동아시아 지정학
GS3662,3,2021,동양사의 이해
GS3663,3,2021,종교와 과학
GS3801,3,2021,과학기술과 젠더
GS3801,3,2021,과학기술과 젠더(심화)
GS3802,3,2021,과학자 문학
GS3803,3,2021,포스트휴먼 셰익스피어
GS3901,2,2021,일본문화론
